batch_id,game_number,match_id,timestamp_utc,white_profile,black_profile,move_number,player_color,piece_type,from_square,to_square,promotion,result,result_type
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,1,White,Knight,g1,f3,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,2,Black,Knight,g8,f6,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,3,White,Knight,f3,e5,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,4,Black,Knight,f6,e4,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,5,White,Knight,b1,a3,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,6,Black,Pawn,d7,d6,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,7,White,Knight,e5,c4,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,8,Black,Bishop,c8,e6,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,9,White,Knight,c4,a5,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,10,Black,Bishop,e6,d5,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,11,White,Knight,a3,b5,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,12,Black,Knight,b8,d7,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,13,White,Knight,b5,d4,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,14,Black,Pawn,b7,b6,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,15,White,Knight,d4,c6,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,16,Black,Queen,d8,c8,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,17,White,Knight,c6,b4,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,18,Black,Bishop,d5,e6,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,19,White,Knight,a5,c6,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,20,Black,Knight,d7,c5,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,21,White,Knight,c6,d4,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,22,Black,Bishop,e6,c4,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,23,White,Knight,b4,c6,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,24,Black,Queen,c8,g4,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,25,White,Rook,a1,b1,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,26,Black,Bishop,c4,a2,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,27,White,Rook,b1,a1,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,28,Black,Bishop,a2,c4,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,29,White,Rook,h1,g1,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,30,Black,Queen,g4,f4,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,31,White,Pawn,f2,f3,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,32,Black,Queen,f4,h4,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,33,White,Pawn,g2,g3,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,34,Black,Queen,h4,h2,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,35,White,Pawn,f3,e4,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,36,Black,Queen,h2,g1,Queen,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,37,White,Rook,a1,a3,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,38,Black,Knight,c5,e4,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,39,White,Rook,a3,f3,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,40,Black,Queen,g1,h2,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,41,White,Rook,f3,f5,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,42,Black,Queen,h2,g3,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,43,White,Rook,f5,f2,,black wins by checkmate.,BlackWin
20260409_024336,1,20260409_024336_g1,2026-04-09T02:44:02.6605000Z,Baseline,Baseline,44,Black,Queen,g3,f2,,black wins by checkmate.,BlackWin
