game_id,ply,move_number,side_to_move,move_uci,piece_type,from_square,to_square,promotion,evaluation,depth,nodes_searched,leaf_evaluations,transposition_hits,alpha_beta_cutoffs,time_ms,search_algorithm,evaluation_version,used_opening_book,fen_after
20260421_121823_g1,1,1,Black,f4g3,Bishop,f4,g3,,105,6,159223,83299,50135,17780,230.933,MinimaxAB,Baseline_Evaluator,False,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1
20260421_121823_g1,2,1,White,b6b7,King,b6,b7,,65,6,138435,77279,34956,19189,222.334,MinimaxAB,Baseline_Evaluator,False,3k4/1Kn2B2/2P5/2B2p2/7p/6bP/8/8 b - - 2 2
20260421_121823_g1,3,2,Black,c7b5,Knight,c7,b5,,105,6,177788,92083,57912,18997,251.935,MinimaxAB,Baseline_Evaluator,False,3k4/1K3B2/2P5/1nB2p2/7p/6bP/8/8 w - - 3 2
20260421_121823_g1,4,2,White,f7g6,Bishop,f7,g6,,70,6,125920,71712,28073,18841,205.784,MinimaxAB,Baseline_Evaluator,False,3k4/1K6/2P3B1/1nB2p2/7p/6bP/8/8 b - - 4 3
20260421_121823_g1,5,3,Black,b5d6,Knight,b5,d6,,155,6,119254,64199,33036,15274,175.134,MinimaxAB,Baseline_Evaluator,False,3k4/1K6/2Pn2B1/2B2p2/7p/6bP/8/8 w - - 5 3
20260421_121823_g1,6,3,White,c5d6,Bishop,c5,d6,,70,6,31052,18536,5730,4689,51.294,MinimaxAB,Baseline_Evaluator,False,3k4/1K6/2PB2B1/5p2/7p/6bP/8/8 b - - 0 4
20260421_121823_g1,7,4,Black,g3d6,Bishop,g3,d6,,90,9,835103,258282,365605,171856,1080.943,MinimaxAB,Baseline_Evaluator,False,3k4/1K6/2Pb2B1/5p2/7p/7P/8/8 w - - 0 4
20260421_121823_g1,8,4,White,g6f5,Bishop,g6,f5,,90,8,287419,95363,134217,41032,350.717,MinimaxAB,Baseline_Evaluator,False,3k4/1K6/2Pb4/5B2/7p/7P/8/8 b - - 0 5
20260421_121823_g1,9,5,Black,d6c7,Bishop,d6,c7,,130,8,326405,99281,166486,41532,380.353,MinimaxAB,Baseline_Evaluator,False,3k4/1Kb5/2P5/5B2/7p/7P/8/8 w - - 1 5
20260421_121823_g1,10,5,White,f5c2,Bishop,f5,c2,,110,8,405794,101839,227374,55136,438.551,MinimaxAB,Baseline_Evaluator,False,3k4/1Kb5/2P5/8/7p/7P/2B5/8 b - - 2 6
20260421_121823_g1,11,6,Black,c7e5,Bishop,c7,e5,,130,8,220854,63239,116941,27623,245.577,MinimaxAB,Baseline_Evaluator,False,3k4/1K6/2P5/4b3/7p/7P/2B5/8 w - - 3 6
20260421_121823_g1,12,6,White,c2d3,Bishop,c2,d3,,110,8,485004,119148,271242,69008,544.107,MinimaxAB,Baseline_Evaluator,False,3k4/1K6/2P5/4b3/7p/3B3P/8/8 b - - 4 7
20260421_121823_g1,13,7,Black,e5f4,Bishop,e5,f4,,110,8,468715,148484,238519,55720,551.877,MinimaxAB,Baseline_Evaluator,False,3k4/1K6/2P5/8/5b1p/3B3P/8/8 w - - 5 7
20260421_121823_g1,14,7,White,b7b6,King,b7,b6,,110,8,380688,99461,207194,51889,433.322,MinimaxAB,Baseline_Evaluator,False,3k4/8/1KP5/8/5b1p/3B3P/8/8 b - - 6 8
20260421_121823_g1,15,8,Black,f4e3,Bishop,f4,e3,,110,8,553249,144682,308543,67395,623.182,MinimaxAB,Baseline_Evaluator,False,3k4/8/1KP5/8/7p/3Bb2P/8/8 w - - 7 8
20260421_121823_g1,16,8,White,b6b5,King,b6,b5,,110,9,260641,68661,142262,35512,296.105,MinimaxAB,Baseline_Evaluator,False,3k4/8/2P5/1K6/7p/3Bb2P/8/8 b - - 8 9
20260421_121823_g1,17,9,Black,d8c7,King,d8,c7,,110,8,447593,117006,248294,57877,498.244,MinimaxAB,Baseline_Evaluator,False,8/2k5/2P5/1K6/7p/3Bb2P/8/8 w - - 9 9
20260421_121823_g1,18,9,White,d3e4,Bishop,d3,e4,,95,8,234177,63162,119342,37196,296.960,MinimaxAB,Baseline_Evaluator,False,8/2k5/2P5/1K6/4B2p/4b2P/8/8 b - - 10 10
20260421_121823_g1,19,10,Black,c7d6,King,c7,d6,,105,8,330936,89850,178296,43510,371.755,MinimaxAB,Baseline_Evaluator,False,8/8/2Pk4/1K6/4B2p/4b2P/8/8 w - - 11 10
20260421_121823_g1,20,10,White,e4f3,Bishop,e4,f3,,100,8,509472,140657,261710,76645,660.750,MinimaxAB,Baseline_Evaluator,False,8/8/2Pk4/1K6/7p/4bB1P/8/8 b - - 12 11
20260421_121823_g1,21,11,Black,e3a7,Bishop,e3,a7,,100,8,610101,188841,309773,77069,748.112,MinimaxAB,Baseline_Evaluator,False,8/b7/2Pk4/1K6/7p/5B1P/8/8 w - - 13 11
20260421_121823_g1,22,11,White,f3g2,Bishop,f3,g2,,100,8,306088,96246,143924,47292,409.682,MinimaxAB,Baseline_Evaluator,False,8/b7/2Pk4/1K6/7p/7P/6B1/8 b - - 14 12
20260421_121823_g1,23,12,Black,a7b8,Bishop,a7,b8,Bishop,105,8,402681,133591,195095,51297,518.085,MinimaxAB,Baseline_Evaluator,False,1b6/8/2Pk4/1K6/7p/7P/6B1/8 w - - 15 12
20260421_121823_g1,24,12,White,b5c4,King,b5,c4,,90,8,221988,77016,100232,31876,283.150,MinimaxAB,Baseline_Evaluator,False,1b6/8/2Pk4/8/2K4p/7P/6B1/8 b - - 16 13
20260421_121823_g1,25,13,Black,b8c7,Bishop,b8,c7,,95,9,571643,163725,285058,92176,707.794,MinimaxAB,Baseline_Evaluator,False,8/2b5/2Pk4/8/2K4p/7P/6B1/8 w - - 17 13
20260421_121823_g1,26,13,White,g2e4,Bishop,g2,e4,,100,8,189508,63789,83267,31482,257.664,MinimaxAB,Baseline_Evaluator,False,8/2b5/2Pk4/8/2K1B2p/7P/8/8 b - - 18 14
20260421_121823_g1,27,14,Black,c7a5,Bishop,c7,a5,,95,9,608245,164900,312139,97786,761.694,MinimaxAB,Baseline_Evaluator,False,8/8/2Pk4/b7/2K1B2p/7P/8/8 w - - 19 14
20260421_121823_g1,28,14,White,e4f3,Bishop,e4,f3,,95,8,263919,89676,116067,40688,363.783,MinimaxAB,Baseline_Evaluator,False,8/8/2Pk4/b7/2K4p/5B1P/8/8 b - - 20 15
20260421_121823_g1,29,15,Black,a5d8,Bishop,a5,d8,,100,8,385105,115697,194447,52761,464.508,MinimaxAB,Baseline_Evaluator,False,3b4/8/2Pk4/8/2K4p/5B1P/8/8 w - - 21 15
20260421_121823_g1,30,15,White,f3g2,Bishop,f3,g2,,100,8,294900,100496,132195,44308,395.939,MinimaxAB,Baseline_Evaluator,False,3b4/8/2Pk4/8/2K4p/7P/6B1/8 b - - 22 16
