batch_id,game_id,game_number,timestamp_utc,engine_build,white_engine,black_engine,starting_fen,total_moves,ply,move_number,side_to_move,fen_before,move_uci,move_san,fen_after,piece_type,from_square,to_square,promotion,engine_name,search_algorithm,evaluation_version,depth,evaluation,nodes_searched,leaf_evaluations,transposition_hits,alpha_beta_cutoffs,time_ms,best_move,principal_variation,quiescence_used,move_ordering_used,mobility_term,king_safety_term,used_opening_book,result,termination_reason,result_type
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,1,1,White,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,b6b7,,3k4/1Kn2B2/2P5/2B2p2/7p/6bP/8/8 b - - 2 1,King,b6,b7,,Baseline,MinimaxAB,Baseline_Evaluator,6,65,138435,77279,34956,19189,222.655,b6b7,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,2,1,Black,3k4/1Kn2B2/2P5/2B2p2/7p/6bP/8/8 b - - 2 1,c7b5,,3k4/1K3B2/2P5/1nB2p2/7p/6bP/8/8 w - - 3 2,Knight,c7,b5,,Baseline,MinimaxAB,Baseline_Evaluator,6,105,177788,92083,57912,18997,241.777,c7b5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,3,2,White,3k4/1K3B2/2P5/1nB2p2/7p/6bP/8/8 w - - 3 2,f7g6,,3k4/1K6/2P3B1/1nB2p2/7p/6bP/8/8 b - - 4 2,Bishop,f7,g6,,Baseline,MinimaxAB,Baseline_Evaluator,6,70,125920,71712,28073,18841,202.112,f7g6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,4,2,Black,3k4/1K6/2P3B1/1nB2p2/7p/6bP/8/8 b - - 4 2,b5d6,,3k4/1K6/2Pn2B1/2B2p2/7p/6bP/8/8 w - - 5 3,Knight,b5,d6,,Baseline,MinimaxAB,Baseline_Evaluator,6,155,119254,64199,33036,15274,179.629,b5d6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,5,3,White,3k4/1K6/2Pn2B1/2B2p2/7p/6bP/8/8 w - - 5 3,c5d6,,3k4/1K6/2PB2B1/5p2/7p/6bP/8/8 b - - 0 3,Bishop,c5,d6,,Baseline,MinimaxAB,Baseline_Evaluator,6,70,31052,18536,5730,4689,53.016,c5d6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,6,3,Black,3k4/1K6/2PB2B1/5p2/7p/6bP/8/8 b - - 0 3,g3d6,,3k4/1K6/2Pb2B1/5p2/7p/7P/8/8 w - - 0 4,Bishop,g3,d6,,Baseline,MinimaxAB,Baseline_Evaluator,9,90,835103,258282,365605,171856,1107.862,g3d6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,7,4,White,3k4/1K6/2Pb2B1/5p2/7p/7P/8/8 w - - 0 4,g6f5,,3k4/1K6/2Pb4/5B2/7p/7P/8/8 b - - 0 4,Bishop,g6,f5,,Baseline,MinimaxAB,Baseline_Evaluator,8,90,287419,95363,134217,41032,351.274,g6f5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,8,4,Black,3k4/1K6/2Pb4/5B2/7p/7P/8/8 b - - 0 4,d6c7,,3k4/1Kb5/2P5/5B2/7p/7P/8/8 w - - 1 5,Bishop,d6,c7,,Baseline,MinimaxAB,Baseline_Evaluator,8,130,326405,99281,166486,41532,380.403,d6c7,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,9,5,White,3k4/1Kb5/2P5/5B2/7p/7P/8/8 w - - 1 5,f5c2,,3k4/1Kb5/2P5/8/7p/7P/2B5/8 b - - 2 5,Bishop,f5,c2,,Baseline,MinimaxAB,Baseline_Evaluator,8,110,405794,101839,227374,55136,436.813,f5c2,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,10,5,Black,3k4/1Kb5/2P5/8/7p/7P/2B5/8 b - - 2 5,c7e5,,3k4/1K6/2P5/4b3/7p/7P/2B5/8 w - - 3 6,Bishop,c7,e5,,Baseline,MinimaxAB,Baseline_Evaluator,8,130,220854,63239,116941,27623,245.590,c7e5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
